Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,50.049999,50.200001,49.700001,49.930000,49.374557,1351898
2021-08-24,49.990002,49.990002,48.959999,49.299999,48.751564,1697446
2021-08-25,49.580002,49.830002,49.000000,49.029999,48.484570,1503940
2021-08-26,49.099998,49.980000,49.000000,49.680000,49.127338,2914136
2021-08-27,49.880001,49.990002,49.349998,49.700001,49.147118,1997508
2021-08-30,49.680000,49.990002,49.360001,49.820000,49.265781,1450710
2021-08-31,49.950001,51.000000,49.709999,50.820000,50.254658,7518091
2021-09-01,51.049999,51.099998,50.509998,50.650002,50.086548,1538114
2021-09-02,50.650002,50.990002,49.790001,50.369999,49.809662,1356120
2021-09-03,50.380001,50.720001,49.099998,49.410000,48.860340,1019270
2021-09-06,49.700001,50.459999,49.139999,49.970001,49.414112,251566
2021-09-07,50.000000,50.000000,49.119999,49.450001,48.899899,1446527
2021-09-08,49.279999,50.430000,49.279999,49.770000,49.216339,2479372
2021-09-09,49.779999,50.290001,49.389999,50.080002,49.522892,1486978
2021-09-10,50.099998,50.700001,49.830002,50.310001,49.750332,1805681
2021-09-13,50.380001,51.770000,50.380001,51.340000,50.768871,2071367
2021-09-14,51.950001,55.650002,51.529999,55.299999,54.684818,5235054
2021-09-15,55.230000,56.520000,54.529999,56.000000,55.377033,4585933
2021-09-17,56.060001,56.400002,54.959999,56.230000,55.604473,7961491
2021-09-20,56.000000,58.439999,55.000000,57.910000,57.265785,3339588
2021-09-21,58.009998,58.799999,57.369999,57.880001,57.236118,2672075
2021-09-22,58.000000,58.740002,57.400002,58.279999,57.631668,1365165
2021-09-23,58.410000,58.590000,57.119999,58.310001,57.661335,1558505
2021-09-24,58.369999,58.369999,56.000000,56.619999,55.990135,1706650
2021-09-27,56.380001,56.750000,55.990002,56.310001,55.683586,1596169
2021-09-28,56.400002,57.169998,54.869999,55.320000,54.704597,1814963
2021-09-29,55.450001,58.990002,54.759998,57.830002,57.186676,6692032
2021-09-30,58.200001,58.299999,56.389999,58.040001,57.394341,3883876
2021-10-01,57.770000,58.139999,56.700001,57.299999,56.662571,1921304
2021-10-04,57.299999,58.049999,56.099998,57.290001,56.652683,1517650
2021-10-05,57.169998,58.750000,56.720001,57.980000,57.335007,1709343
2021-10-06,57.720001,60.380001,57.310001,59.340000,58.679878,2570345
2021-10-07,59.639999,60.889999,57.919998,58.299999,57.651443,2961013
2021-10-08,58.450001,59.660000,57.689999,58.750000,58.096439,1347719
2021-10-11,58.599998,58.630001,56.650002,57.590000,56.949345,2377275
2021-10-12,58.580002,58.580002,55.320000,55.540001,54.922150,3198356
2021-10-13,55.810001,57.110001,55.590000,56.869999,56.237354,1864268
2021-10-14,57.009998,58.000000,56.500000,57.169998,56.534016,966657
2021-10-15,57.689999,58.299999,57.099998,57.880001,57.236118,1976914
2021-10-18,58.369999,59.959999,57.970001,59.630001,58.966652,1931231
2021-10-19,59.779999,59.860001,57.020000,57.630001,56.988899,2436685
2021-10-20,57.790001,58.099998,57.240002,57.880001,57.236118,1979793
2021-10-21,57.599998,58.090000,57.250000,57.639999,56.998787,1510082
2021-10-22,57.599998,58.080002,55.939999,56.509998,55.881355,1433284
2021-10-25,56.619999,57.310001,56.529999,56.619999,55.990135,747296
2021-10-26,57.529999,57.950001,57.029999,57.439999,56.801010,3432125
2021-10-27,57.650002,57.820000,57.060001,57.509998,56.870232,557474
2021-10-28,57.360001,57.689999,55.950001,56.279999,55.653915,1390363
2021-10-29,56.200001,61.299999,56.200001,60.939999,60.262077,3509512
2021-11-01,61.500000,63.779999,61.349998,62.860001,62.160717,2583151
2021-11-03,63.090000,64.610001,61.209999,61.980000,61.290508,2842220
2021-11-04,61.990002,63.529999,60.619999,62.910000,62.210163,3110866
2021-11-05,62.770000,64.599998,62.700001,63.400002,62.694714,2699100
2021-11-08,63.610001,63.610001,61.000000,61.209999,60.529072,1018953
2021-11-09,61.490002,62.990002,61.080002,62.820000,62.121162,1988346
2021-11-10,63.130001,63.130001,60.919998,61.580002,60.894958,878999
2021-11-11,61.509998,61.900002,59.099998,59.660000,58.996315,1346809
2021-11-12,59.889999,61.560001,59.119999,59.840000,59.174313,2124146
2021-11-16,60.490002,62.389999,60.230000,60.950001,60.271965,2584722
2021-11-17,61.279999,61.450001,60.299999,60.509998,59.836861,1191474
2021-11-18,60.709999,60.980000,59.500000,60.470001,59.797306,1481794
2021-11-19,60.700001,60.700001,57.820000,58.160000,57.513004,3123741
2021-11-22,58.380001,58.919998,55.889999,56.400002,55.772583,3718920
2021-11-23,55.250000,56.330002,54.939999,55.650002,55.030926,4361841
2021-11-24,55.869999,57.459999,54.509998,56.419998,55.792358,3259548
2021-11-25,56.759998,56.849998,54.709999,55.049999,54.437599,713110
2021-11-26,54.770000,54.779999,52.680000,54.430000,53.824497,2786167
2021-11-29,54.740002,55.619999,52.410000,52.810001,52.222519,5324675
2021-11-30,52.439999,56.720001,52.439999,56.220001,55.594585,20778186
2021-12-01,56.590000,57.830002,55.049999,56.139999,55.515472,7111939
2021-12-02,56.130001,56.700001,55.110001,56.310001,55.683586,3608216
2021-12-03,55.259998,57.889999,55.259998,56.830002,56.197800,2410993
2021-12-06,56.650002,57.799999,55.610001,56.209999,55.584694,3449980
2021-12-07,56.730000,57.750000,55.130001,57.590000,56.949345,3117050
2021-12-08,57.549999,57.549999,53.880001,54.790001,54.180492,8578725
2021-12-09,54.919998,56.889999,54.900002,56.279999,55.653915,4221893
2021-12-10,58.470001,59.200001,56.660000,58.400002,57.750336,3928582
2021-12-13,58.439999,58.439999,56.049999,56.830002,56.197800,2634756
2021-12-14,56.680000,58.980000,55.680000,58.779999,58.126106,4136121
2021-12-15,58.549999,59.820000,58.009998,59.480000,58.818317,2520095
2021-12-16,59.630001,59.799999,58.099998,58.250000,57.602001,2800194
2021-12-17,58.029999,61.990002,57.759998,61.470001,60.786182,8263844
2021-12-20,60.740002,63.900002,59.900002,62.880001,62.180496,2344523
2021-12-21,63.299999,63.869999,61.029999,61.150002,60.469742,1952430
2021-12-22,61.459999,62.869999,60.689999,62.660000,61.962944,1775347
2021-12-23,62.570000,62.580002,61.720001,62.130001,61.438839,1246572
2021-12-24,62.119999,62.880001,62.049999,62.810001,62.111275,32776
2021-12-27,62.770000,63.189999,62.279999,62.840000,62.140942,411116
